mal_id,title_eng,title_jap,episodes,year,image,trailer
19123,One Piece: Episode of Merry - The Tale of One More Friend,ワンピース エピソード・オブ・メリー ～もうひとりの仲間の物語～,1,2013,https://cdn.myanimelist.net/images/anime/9/61015.webp,
20651,Natsume’s Book of Friends: On a Certain Snowy Day,夏目友人帳 新作OVA いつかゆきのひに,1,2014,https://cdn.myanimelist.net/images/anime/11/79742.webp,
21419,Detective Conan Movie 18: The Sniper from Another Dimension,名探偵コナン　異次元の狙撃手（スナイパー）,1,2014,https://cdn.myanimelist.net/images/anime/11/60289.webp,https://www.youtube.com/watch?v=XQG4DG7zCH0
21469,,STAND BY ME ドラえもん,1,2014,https://cdn.myanimelist.net/images/anime/9/65571.webp,https://www.youtube.com/watch?v=RP-KqRkDWS0
21899,,銀魂 よりぬき銀魂さんオンシアター2D,2,2012,https://cdn.myanimelist.net/images/anime/1172/90571.webp,
25313,,銀魂 〜布団に入ってから拭き残しに気付いて寝るに寝れない時もある〜,1,2015,https://cdn.myanimelist.net/images/anime/1327/110925.webp,
27663,,ベイビーステップ 第2シリーズ,25,2015,https://cdn.myanimelist.net/images/anime/9/73683.webp,
29831,,たまゆら～卒業写真～ 第4部 朝-あした-,1,2016,https://cdn.myanimelist.net/images/anime/1697/134884.webp,https://www.youtube.com/watch?v=Zq3DTv-nlBc
30364,Haikyuu!! the Movie: The Winner and the Loser,ハイキュー!! 勝者と敗者,1,2015,https://cdn.myanimelist.net/images/anime/2/74813.webp,https://www.youtube.com/watch?v=lIVgCyNF9nc
31149,Persona 3 the Movie: #4 Winter of Rebirth,PERSONA3 THE MOVIE —#4 Winter of Rebirth—,1,2016,https://cdn.myanimelist.net/images/anime/9/77828.webp,https://www.youtube.com/watch?v=b7rwuFHkF-c
32005,Detective Conan Movie 20: The Darkest Nightmare,劇場版　名探偵コナン　純黒の悪夢（ナイトメア）,1,2016,https://cdn.myanimelist.net/images/anime/10/78894.webp,https://www.youtube.com/watch?v=bXkzfhqEKa8
32122,,銀魂 〜美味いモノは後回しにすると横取りされるからやっぱり先に食え〜,1,2015,https://cdn.myanimelist.net/images/anime/1720/110926.webp,
32366,Gintama: Love Incense Arc,銀魂　愛染香篇,2,2016,https://cdn.myanimelist.net/images/anime/1962/133573.webp,
32843,Symphogear XV,戦姫絶唱シンフォギアXV,13,2019,https://cdn.myanimelist.net/images/anime/1899/101966.webp,https://www.youtube.com/watch?v=Gl3vAScd2sk
33323,,神様はじめました「神様、幸せになる」,1,2016,https://cdn.myanimelist.net/images/anime/4/83437.webp,
34036,Detective Conan: Episode One - The Great Detective Turned Small,名探偵コナン エピソードONE 小さくなった名探偵,1,2016,https://cdn.myanimelist.net/images/anime/5/81968.webp,
34076,The Eccentric Family 2,有頂天家族2,12,2017,https://cdn.myanimelist.net/images/anime/8/85354.webp,https://www.youtube.com/watch?v=LU5KaJhxtsc
34376,,結城友奈は勇者である -鷲尾須美の章- 第３章「やくそく」,1,2017,https://cdn.myanimelist.net/images/anime/7/86984.webp,https://www.youtube.com/watch?v=owwnacwaNVI
34534,Natsume's Book of Friends Season 5 Specials,夏目友人帳 伍 特別編,2,2017,https://cdn.myanimelist.net/images/anime/3/84887.webp,
35110,Haikyu!! The Movie: Talent and Sense,ハイキュー!! 才能とセンス,1,2017,https://cdn.myanimelist.net/images/anime/3/86069.webp,https://www.youtube.com/watch?v=PcyUJ8DhPpk
35111,Haikyu!! The Movie: Battle of Concepts,ハイキュー!! コンセプトの戦い,1,2017,https://cdn.myanimelist.net/images/anime/3/86346.webp,https://www.youtube.com/watch?v=dkElc3YdfgU
35857,Lupin the Third Part 5,ルパン三世 PART5,24,2018,https://cdn.myanimelist.net/images/anime/1235/91028.webp,https://www.youtube.com/watch?v=8QYcM9Pplmc
36275,Natsume's Book of Friends Season 6 Specials,夏目友人帳 陸 特別編,2,2017,https://cdn.myanimelist.net/images/anime/10/87615.webp,https://www.youtube.com/watch?v=fn8Av6M3X6c
36369,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 1,銀河英雄伝説 Die Neue These 星乱,4,2019,https://cdn.myanimelist.net/images/anime/1772/102667.webp,https://www.youtube.com/watch?v=CeKT-LytxVQ
36370,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 2,銀河英雄伝説 Die Neue These 星乱 第2章,4,2019,https://cdn.myanimelist.net/images/anime/1215/103351.webp,https://www.youtube.com/watch?v=2KciYnYsAGI
36371,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 3,銀河英雄伝説 Die Neue These 星乱 第3章,4,2019,https://cdn.myanimelist.net/images/anime/1782/103917.webp,https://www.youtube.com/watch?v=1DG6yObFStU
36538,Natsume's Book of Friends Movie: Ephemeral Bond,劇場版 夏目友人帳 ～うつせみに結ぶ～,1,2018,https://cdn.myanimelist.net/images/anime/1250/94846.webp,https://www.youtube.com/watch?v=urtKQZmyxQE
36593,,HuGっと！プリキュア,49,2018,https://cdn.myanimelist.net/images/anime/1220/92883.webp,https://www.youtube.com/watch?v=My1u0ka_xck
36990,,劇場版 のんのんびより ばけーしょん,1,2018,https://cdn.myanimelist.net/images/anime/1044/93575.webp,https://www.youtube.com/watch?v=sl89-kF75FI
37822,,斗罗大陆,237,2018,https://cdn.myanimelist.net/images/anime/1538/93566.webp,
37870,,BanG Dream!（バンドリ！）第3期,13,2020,https://cdn.myanimelist.net/images/anime/1985/104767.webp,https://www.youtube.com/watch?v=gYU9b0MJDz0
37962,IDOLiSH7 Second BEAT!,アイドリッシュセブン Second BEAT!,15,2020,https://cdn.myanimelist.net/images/anime/1962/106361.webp,https://www.youtube.com/watch?v=GFJnHFejErk
38081,Girls und Panzer das Finale – Part 2,『ガールズ＆パンツァー 最終章』第2話,1,2019,https://cdn.myanimelist.net/images/anime/1240/119215.webp,https://www.youtube.com/watch?v=2IHSIXtTovw
38088,,デジモンアドベンチャー LAST EVOLUTION 絆,1,2020,https://cdn.myanimelist.net/images/anime/1654/104884.webp,https://www.youtube.com/watch?v=wR7U3IDmFYA
38475,Laid-Back Camp: The Movie,映画 ゆるキャン△,1,2022,https://cdn.myanimelist.net/images/anime/1806/124396.webp,https://www.youtube.com/watch?v=DROz9ATilaw
38731,Ace of Diamond Act II,ダイヤのA[エース] actII,52,2019,https://cdn.myanimelist.net/images/anime/1153/100511.webp,https://www.youtube.com/watch?v=rXeRBV9vNnE
38850,,映画スター☆トゥインクルプリキュア 星のうたに想いをこめて,1,2019,https://cdn.myanimelist.net/images/anime/1324/101596.webp,https://www.youtube.com/watch?v=-TgdU8Fjb-E
39112,,カワキヲアメク,1,2019,https://cdn.myanimelist.net/images/anime/1776/121796.webp,
39166,Girls und Panzer das Finale – Part 3,『ガールズ＆パンツァー 最終章』第3話,1,2021,https://cdn.myanimelist.net/images/anime/1894/119214.webp,https://www.youtube.com/watch?v=oHCy6_TjFMw
39167,Girls und Panzer das Finale – Part 4,『ガールズ＆パンツァー 最終章』第4話,1,2023,https://cdn.myanimelist.net/images/anime/1652/138188.webp,https://www.youtube.com/watch?v=qlXBwJfybdU
39592,Mobile Suit Gundam: The Origin - Advent of the Red Comet,機動戦士ガンダム THE ORIGIN 前夜 赤い彗星,13,2019,https://cdn.myanimelist.net/images/anime/1897/100015.webp,
39894,Sound! Euphonium 3,響け！ユーフォニアム3,13,2024,https://cdn.myanimelist.net/images/anime/1216/142086.webp,https://www.youtube.com/watch?v=dzSh0bjmUVA
40211,The Legend of Hei,羅小黑戰記,1,2019,https://cdn.myanimelist.net/images/anime/1583/108598.webp,https://www.youtube.com/watch?v=G9oTNGF1OZE
40434,The Founder of Diabolism Season 3,魔道祖师 完结篇,12,2021,https://cdn.myanimelist.net/images/anime/1634/116782.webp,https://www.youtube.com/watch?v=YsA1hKfRqtQ
40664,Revue Starlight: The Movie,劇場版 少女☆歌劇 レヴュースタァライト,1,2021,https://cdn.myanimelist.net/images/anime/1655/114440.webp,https://www.youtube.com/watch?v=z5hfWlnhTqk
40784,Scissor Seven (2019),伍六七之最强发型师,10,2019,https://cdn.myanimelist.net/images/anime/1756/104551.webp,
40853,,STAND BY ME ドラえもん ２,1,2020,https://cdn.myanimelist.net/images/anime/1842/109657.webp,https://www.youtube.com/watch?v=SekwIeFBfAw
41361,Pompo: The Cinéphile,映画大好きポンポさん,1,2021,https://cdn.myanimelist.net/images/anime/1210/119193.webp,https://www.youtube.com/watch?v=nDpsTDHN_ac
41462,,BanG Dream! FILM LIVE 2nd Stage,1,2021,https://cdn.myanimelist.net/images/anime/1229/117735.webp,https://www.youtube.com/watch?v=SjDir7mlNLU
41781,,劇場版 BanG Dream! Episode of Roselia II:Song I am.,1,2021,https://cdn.myanimelist.net/images/anime/1246/115689.webp,https://www.youtube.com/watch?v=Oi1jH6lt8iY
41782,BanG Dream! Poppin'Dream!,劇場版 BanG Dream! ぽっぴん'どりーむ！,1,2022,https://cdn.myanimelist.net/images/anime/1856/119931.webp,https://www.youtube.com/watch?v=YCNlJypIoks
42886,Legend of the Galactic Heroes: Die Neue These - Collision,銀河英雄伝説 Die Neue These 激突,12,2022,https://cdn.myanimelist.net/images/anime/1859/118711.webp,https://www.youtube.com/watch?v=73ZRLL3dP7A
42894,Natsume's Book of Friends: The Waking Rock and the Strange Visitor,夏目友人帳 石起こしと怪しき来訪者,1,2021,https://cdn.myanimelist.net/images/anime/1992/111560.webp,https://www.youtube.com/watch?v=IuSKZlwGRNs
42941,,ウマ娘 プリティーダービー Season 2,13,2021,https://cdn.myanimelist.net/images/anime/1447/114282.webp,https://www.youtube.com/watch?v=3YmXymfB0mk
42984,,GOTCHA!,1,2020,https://cdn.myanimelist.net/images/anime/1637/109512.webp,
44042,Holo Graffiti,ホロのぐらふぃてぃ,,2019,https://cdn.myanimelist.net/images/anime/1259/110227.webp,
44070,Heaven Official's Blessing Special,天官赐福特别节目,1,2021,https://cdn.myanimelist.net/images/anime/1043/110306.webp,https://www.youtube.com/watch?v=O-584_wk3mw
44087,,銀魂 THE SEMI-FINAL,2,2021,https://cdn.myanimelist.net/images/anime/1694/110521.webp,
44235,,PUI PUI モルカー,12,2021,https://cdn.myanimelist.net/images/anime/1484/119197.webp,
